text,label,notes,source
I have a Framework for work and the main benefit is if you want the hardware setup a certain way. I have 2 USB-C and 2 full HDMI ports. Battery life is great and it's pretty quick.,hands_on_review,"direct use experience with ports, battery, and speed",uploaded tech product comments
"I have the AMD 13 and received it about a month ago. It is very light, fits in my backpack, and the build quality feels middle of the road. The battery is okay but a little small.",hands_on_review,direct laptop ownership experience with build and battery details,uploaded tech product comments
Daily use since I got it. Bought a new one a few months ago as a nice upgrade and gave the Intel model to my fiancee. Absolutely perfect laptop for me.,hands_on_review,direct long-term use experience,uploaded tech product comments
"My Framework is on an i7-1185G7, so take this with a grain of salt, but in my experience Fedora battery life is on par with Windows 10 and 11.",hands_on_review,direct OS and battery experience,uploaded tech product comments
I have an AMD Framework and was running Linux. It got me through 6 to 8 hour sessions without the GPU installed.,hands_on_review,direct battery experience under Linux,uploaded tech product comments
"Before buying a Framework laptop I had heard nothing bad, but it took two months for mine to be functional after customs issues, stripped screws, and a motherboard replacement.",hands_on_review,direct negative ownership experience,uploaded tech product comments
"I bought a Lenovo Legion with an RTX 4070 for about $1500 and am very happy with it. I do not game on it much, but it handles Starfield, Civ, and Borderlands.",hands_on_review,direct experience with a specific laptop,uploaded tech product comments
"I have the original Framework Laptop and aside from the fan being loud and having almost no Wi-Fi reception with the lid closed, I am happy with it.",hands_on_review,direct ownership experience with pros and cons,uploaded tech product comments
"Build quality is awesome, no plastic, strong aluminum. Battery life is acceptable and lasts me a school day. Repairing it is like building Legos.",hands_on_review,"direct product review with build, battery, and repair details",uploaded tech product comments
"I have the 13 inch Framework with the big AMD CPU and battery. The only bad thing is standby power consumption, but it is not a Framework-only problem.",hands_on_review,direct ownership experience with one specific complaint,uploaded tech product comments
"If repairability has value to you, Framework is probably the only laptop that ticks this box. You could go to Lenovo, but I do not know if they come close to that level of repairability.",buying_advice,recommendation based on repairability value,uploaded tech product comments
"Since you already have the M1, I think you are good for normal productivity.",buying_advice,advice to keep current laptop based on use case,uploaded tech product comments
"Gaming on a laptop will always be a half baked solution. If you want Framework and versatility, the 13 inch version has better support than the 16.",buying_advice,buying recommendation based on gaming and support tradeoffs,uploaded tech product comments
"If battery life is a concern, go with AMD and the bigger battery.",buying_advice,clear buying recommendation based on battery need,uploaded tech product comments
